Date,Baltic_Dry_Index,Fuel_Price_USD,Port_Congestion_Days,USD_INR_Rate,Target_Freight_Cost_Per_Ton
2023-01-01,1860,731.05,2,82.36,41.16
2023-01-02,2294,566.21,11,84.01,51.78
2023-01-03,2130,513.55,10,83.48,52.79
2023-01-04,2095,624.59,1,83.16,44.47
2023-01-05,2638,812.2,8,83.41,65.0
2023-01-06,3169,611.03,2,86.02,54.38
2023-01-07,1466,588.04,7,86.65,41.97
2023-01-08,2238,585.07,9,84.03,55.04
2023-01-09,1330,706.07,9,86.53,50.43
2023-01-10,2482,890.22,8,83.61,63.8
2023-01-11,3135,683.6,11,84.38,65.99
2023-01-12,1130,722.92,10,83.13,46.99
2023-01-13,2685,844.25,9,85.2,69.08
2023-01-14,1769,714.03,2,86.89,41.96
2023-01-15,3391,573.79,6,85.02,53.47
2023-01-16,2515,619.84,4,83.79,46.81
2023-01-17,3433,623.97,4,85.24,58.2
2023-01-18,2215,658.93,5,82.61,51.49
2023-01-19,1955,670.72,3,86.44,43.63
2023-01-20,3324,819.91,1,84.52,61.45
2023-01-21,2184,639.75,8,84.25,51.98
2023-01-22,1459,687.29,5,84.93,38.78
2023-01-23,1021,749.99,3,85.12,36.23
2023-01-24,3300,651.09,10,82.36,68.22
2023-01-25,1747,834.63,7,85.41,53.53
2023-01-26,1474,734.98,7,83.21,44.78
2023-01-27,2082,617.62,1,85.57,40.15
2023-01-28,3047,785.62,9,86.11,72.91
2023-01-29,1975,711.06,2,86.02,41.62
2023-01-30,2806,713.78,5,84.76,58.29
2023-01-31,1189,692.44,5,84.6,35.97
2023-02-01,1562,698.8,8,82.71,50.31
2023-02-02,2899,806.14,8,85.88,63.39
2023-02-03,2267,541.19,7,83.36,50.21
2023-02-04,2528,633.75,7,84.48,52.21
2023-02-05,1646,530.2,11,83.42,49.45
2023-02-06,3068,801.3,6,82.67,61.9
2023-02-07,3214,608.92,6,85.15,57.98
2023-02-08,2297,858.97,11,82.27,66.12
2023-02-09,3435,710.63,9,85.74,68.31
2023-02-10,1600,820.3,6,83.59,50.37
2023-02-11,3363,891.57,2,82.0,63.0
2023-02-12,3061,835.92,2,84.56,58.82
2023-02-13,1241,846.8,5,82.23,46.2
2023-02-14,3041,663.19,4,83.38,55.61
2023-02-15,2363,720.69,11,85.53,59.76
2023-02-16,3139,601.56,2,82.31,51.37
2023-02-17,2390,578.45,3,86.2,48.14
2023-02-18,2478,702.2,7,82.02,56.58
2023-02-19,1775,738.02,8,83.23,50.2
2023-02-20,1034,635.71,6,85.7,39.21
2023-02-21,3253,727.78,11,83.58,71.8
2023-02-22,2955,854.98,5,82.51,63.74
2023-02-23,2585,722.69,1,83.8,47.08
2023-02-24,2021,788.33,8,83.35,54.5
2023-02-25,2129,822.13,3,86.21,49.1
2023-02-26,2500,895.49,6,83.57,60.14
2023-02-27,1702,741.28,3,85.94,44.84
2023-02-28,3449,822.74,7,86.46,70.26
2023-03-01,2579,885.06,7,84.17,63.59
2023-03-02,1161,877.76,9,86.55,54.15
2023-03-03,1201,556.43,5,83.89,37.58
2023-03-04,2981,662.56,8,86.82,61.4
2023-03-05,1995,629.6,10,82.45,51.47
2023-03-06,3317,534.77,10,85.44,62.78
2023-03-07,1815,753.3,8,84.47,52.23
2023-03-08,1455,794.36,1,83.94,41.54
2023-03-09,2275,839.25,5,85.16,55.37
2023-03-10,2016,549.11,3,85.52,39.82
2023-03-11,3343,850.58,1,82.02,58.98
2023-03-12,1337,757.17,4,82.83,41.95
2023-03-13,1878,781.58,8,85.57,56.01
2023-03-14,2076,864.25,3,85.33,54.37
2023-03-15,1791,749.9,10,86.83,55.0
2023-03-16,3264,634.35,2,85.81,54.58
2023-03-17,1763,830.04,11,86.75,56.6
2023-03-18,3235,645.22,9,85.51,69.08
2023-03-19,1379,513.69,10,83.49,41.4
2023-03-20,1492,832.26,5,82.53,49.73
2023-03-21,2180,638.08,7,85.91,50.71
2023-03-22,3062,809.53,11,85.22,70.21
2023-03-23,1064,645.1,11,82.24,44.27
2023-03-24,2367,844.43,2,83.8,56.82
2023-03-25,2152,587.8,9,86.78,53.1
2023-03-26,3027,889.82,9,84.5,70.51
2023-03-27,2495,811.9,4,84.16,57.08
2023-03-28,2162,545.7,4,84.29,42.69
2023-03-29,2522,726.31,6,83.04,56.01
2023-03-30,1391,894.15,10,83.84,55.85
2023-03-31,2698,688.43,10,83.85,61.61
2023-04-01,1418,572.84,10,82.26,48.76
2023-04-02,3336,693.91,6,85.84,62.74
2023-04-03,1378,704.98,1,84.08,33.32
2023-04-04,2796,796.67,9,86.11,64.76
2023-04-05,3278,779.54,2,86.25,59.66
2023-04-06,3088,661.02,5,83.06,56.42
2023-04-07,3182,587.21,9,85.29,61.31
2023-04-08,1200,758.02,4,84.36,39.65
2023-04-09,2863,668.68,11,86.4,67.63
2023-04-10,1779,552.91,3,83.08,37.9
2023-04-11,1502,860.23,7,85.39,54.19
2023-04-12,3454,776.49,6,85.04,65.6
2023-04-13,2751,773.27,8,83.48,63.36
2023-04-14,1804,829.03,3,82.68,46.52
2023-04-15,3146,711.86,5,85.26,61.82
2023-04-16,2895,826.02,10,85.69,66.49
2023-04-17,2570,699.24,4,83.58,54.16
2023-04-18,1960,526.87,4,85.22,41.63
2023-04-19,2485,662.1,4,83.98,49.43
2023-04-20,2028,698.99,10,85.57,55.92
2023-04-21,1502,788.08,8,83.0,53.73
2023-04-22,1397,542.63,6,86.45,39.52
2023-04-23,1870,556.01,3,83.44,38.47
2023-04-24,1392,605.47,10,83.84,44.67
2023-04-25,1206,606.6,5,82.29,38.77
2023-04-26,2038,792.87,6,82.56,53.56
2023-04-27,2881,600.29,5,84.58,55.71
2023-04-28,2484,753.24,6,83.34,53.51
2023-04-29,1863,697.71,8,86.18,49.22
2023-04-30,1563,729.32,7,82.07,50.3
2023-05-01,2020,835.24,5,83.9,53.42
2023-05-02,1095,661.75,10,83.69,46.87
2023-05-03,2923,808.36,6,82.1,60.56
2023-05-04,2757,668.81,4,82.62,51.67
2023-05-05,3278,641.55,9,84.07,67.51
2023-05-06,2678,883.45,4,84.46,61.36
2023-05-07,1540,573.75,1,84.02,31.94
2023-05-08,2059,536.13,7,84.65,44.62
2023-05-09,2183,808.39,7,84.98,56.36
2023-05-10,2722,527.3,4,82.05,47.44
2023-05-11,2819,834.83,3,84.32,56.09
2023-05-12,2597,674.88,8,86.82,55.71
2023-05-13,1795,866.21,5,84.6,50.5
2023-05-14,2051,788.61,10,85.39,56.86
2023-05-15,2643,744.16,7,83.56,57.06
2023-05-16,2363,879.72,4,85.87,56.62
2023-05-17,2981,658.66,4,85.86,55.46
2023-05-18,2354,881.63,8,84.61,62.96
2023-05-19,2663,554.0,8,86.88,51.95
2023-05-20,2529,693.5,2,82.63,49.11
2023-05-21,3038,607.96,2,82.08,55.77
2023-05-22,2496,715.94,3,85.85,50.19
2023-05-23,3237,564.81,3,86.04,55.46
2023-05-24,2408,836.61,1,82.6,52.31
2023-05-25,2400,838.56,3,83.33,55.39
2023-05-26,2306,882.09,6,82.09,58.86
2023-05-27,1972,561.87,8,83.47,49.71
2023-05-28,2768,749.33,10,85.87,66.56
2023-05-29,2282,689.69,6,84.59,53.78
2023-05-30,1709,637.75,5,83.74,41.49
2023-05-31,2479,640.62,4,83.86,46.59
2023-06-01,2434,665.12,3,82.01,45.69
2023-06-02,1648,781.97,4,83.5,45.4
2023-06-03,1317,739.31,7,85.23,47.04
2023-06-04,2257,683.87,1,86.87,42.38
2023-06-05,1683,530.37,7,86.24,45.09
2023-06-06,1663,531.11,1,82.12,33.06
2023-06-07,2998,500.94,2,86.49,47.02
2023-06-08,2631,887.08,4,85.92,57.25
2023-06-09,2495,502.1,1,85.9,37.74
2023-06-10,2136,541.24,11,84.29,54.56
2023-06-11,2853,625.84,11,83.99,67.23
2023-06-12,2520,822.97,11,83.51,66.26
2023-06-13,3489,884.84,9,82.33,71.23
2023-06-14,1563,816.01,6,83.14,50.67
2023-06-15,2291,776.22,1,83.23,44.45
2023-06-16,2636,708.52,1,84.42,46.7
2023-06-17,1698,534.68,6,85.74,41.54
2023-06-18,3160,883.27,4,84.37,64.34
2023-06-19,1001,803.36,4,82.29,38.09
2023-06-20,1641,755.58,11,86.79,55.02
2023-06-21,3267,803.61,6,86.71,67.21
2023-06-22,2589,789.64,11,85.93,67.78
2023-06-23,1854,754.89,7,86.96,54.19
2023-06-24,2759,892.23,9,84.72,71.68
2023-06-25,3432,861.35,10,86.81,76.78
2023-06-26,2661,758.67,5,82.38,56.44
2023-06-27,2153,777.27,9,83.83,60.07
2023-06-28,2076,520.64,4,83.13,43.31
2023-06-29,2707,767.97,10,82.98,66.12
2023-06-30,2695,517.67,2,82.7,45.83
2023-07-01,2733,735.31,3,85.11,52.07
2023-07-02,2439,899.74,11,85.91,65.83
2023-07-03,3294,722.32,1,84.89,55.92
2023-07-04,1835,689.28,6,82.73,48.33
2023-07-05,1202,625.14,6,86.06,38.42
